Base URL,API (Endpoint),Method,Request Data / Body,Response Data,Status
/api/addresses,/api/addresses/{id},PUT,AddressRequest,ApiResponse<AddressDto>>,200 OK (Expected)
/api/addresses,/api/addresses/{id},DELETE,None,ApiResponse<Void>>,200 OK (Expected)
/api/admin,/api/admin/dashboard,GET,None,Void,200 OK (Expected)
/api/admin,/api/admin/bookings,GET,None,Void,200 OK (Expected)
/api/admin,/api/admin/bookings/{id}/assign-provider,PUT,None,Void,200 OK (Expected)
/api/admin,/api/admin/customers,GET,None,Void,200 OK (Expected)
/api/admin,/api/admin/providers,GET,None,Void,200 OK (Expected)
/api/admin,/api/admin/providers/available,GET,None,Void,200 OK (Expected)
/api/admin,/api/admin/providers,POST,ProviderCreateRequest,Void,200 OK (Expected)
/api/auth,/api/auth/login,POST,AuthRequest,ApiResponse<AuthResponse>>,200 OK (Expected)
/api/auth,/api/auth/register,POST,RegisterRequest,ApiResponse<AuthResponse>>,200 OK (Expected)
/api/auth,/api/auth/send-otp,POST,None,ApiResponse<Void>>,200 OK (Expected)
/api/bookings,/api/bookings/{id},GET,None,ApiResponse<BookingDto>>,200 OK (Expected)
/api/bookings,/api/bookings/{id}/cancel,PUT,None,ApiResponse<BookingDto>>,200 OK (Expected)
/api/coupons,/api/coupons/validate,GET,None,ApiResponse<CouponDto>>,200 OK (Expected)
/api/seed,/api/seed/providers,GET,None,Void,200 OK (Expected)
/api/notifications,/api/notifications/{id}/read,PUT,None,Void,200 OK (Expected)
/api/notifications,/api/notifications/read-all,PUT,None,Void,200 OK (Expected)
/api/provider,/api/provider/jobs,GET,None,Void,200 OK (Expected)
/api/provider,/api/provider/jobs/{id}/status,PUT,None,Void,200 OK (Expected)
/api/provider,/api/provider/jobs/{id}/verify,POST,None,Void,200 OK (Expected)
/api/provider,/api/provider/location,PUT,None,Void,200 OK (Expected)
/api/provider,/api/provider/assignments/pending,GET,None,Void,200 OK (Expected)
/api/provider,/api/provider/assignments/{id}/respond,POST,None,Void,200 OK (Expected)
/api/provider,/api/provider/jobs/{id}/payment/offline,PUT,None,Void,200 OK (Expected)
/api/providers,/api/providers/nearby,GET,None,ApiResponse<List<ProviderDto>>>,200 OK (Expected)
/api/providers,/api/providers/{providerId}/slots,GET,None,ApiResponse<List<ProviderSlotDto>>>,200 OK (Expected)
/api,/api/reviews,POST,None,Void,200 OK (Expected)
/api,/api/services/{serviceId}/reviews,GET,None,Void,200 OK (Expected)
/api/services,/api/services/{id},GET,None,ApiResponse<ServiceDto>>,200 OK (Expected)
/api/users,/api/users/me,GET,None,ApiResponse<AuthResponse>>,200 OK (Expected)
/api/users,/api/users/me,PUT,ProfileUpdateRequest,ApiResponse<AuthResponse>>,200 OK (Expected)
/api/users,/api/users/me/password,PUT,PasswordUpdateRequest,ApiResponse<Void>>,200 OK (Expected)
/api/vehicles,/api/vehicles/{id},GET,None,ApiResponse<VehicleDto>>,200 OK (Expected)
/api/vehicles,/api/vehicles/{id},PUT,VehicleRequest,ApiResponse<VehicleDto>>,200 OK (Expected)
/api/vehicles,/api/vehicles/{id},DELETE,None,ApiResponse<Void>>,200 OK (Expected)
